제품 이름,평점,판매 회사,날짜,제목,내용
LG전자 LG그램 15ZD95P-GX56K,5,위메프,22.02.27.,배송이 정말 빨랐어여! 집에 부재일 때가 많은데 목요일 낮에 주문하고 금요일 낮에 받았습니다!!,"배송이 정말 빨랐어여! 집에 부재일 때가 많은데 목요일 낮에 주문하고 금요일 낮에 받았습니다!!
주 사용은 온라인 강의이고 간단하게 동영상 편집이나 유튜브 넥플릭스도 볼 복합적인 용도로 구매하게 되었어요
노트북 구매가 처음이다 보니 스펙도 많이 찾아보고 후기도 꼼꼼히 보며 가장 원하는 스펙에 맞는 제품으로 구매했습니다
구매 사은품인 키스킨,무선마우스,마우스패드 모두 잘 왔고 노트북 박스 자체도 꼼꼼히 포장되어서 안전하게 왔어요
윈도우는 미설치로 구매했는데 어려운 점 없이 설명 따라 설치하니 금방 윈도우나 필요한 프로그램도 손쉽게 설치할 수 있는 점이 좋았습니다
배터리 완충 후 충전기 없이 .
그리고 역시 그램은 그램이더라구요!! 15인치 답지 않게 엄청 가벼워서 크는 크지만 동네 앞 카페 같은곳 나가서 강의 듣고 싶을때 전혀 부담스럽지 않게 가지고 나갈 수 있을거 같아요!!
여러 브랜드 노트북과 많이 비교해서 구매에 고민이 많았지만
직장인 대학생으로써 직장, ㅎㅎ"
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.03.01.,말로만 듣던 LG그램을 큰맘 먹고 구매하였습니다. RAM도 16기가로 업그레이드 했습니다. FREE DOS로 윈도우는 직접 설치를 했구요.우선 화이트 칼라를 구매 했는데 디자인이,"말로만 듣던 LG그램을 큰맘 먹고 구매하였습니다. RAM도 16기가로 업그레이드 했습니다. FREE DOS로 윈도우는 직접 설치를 했구요.

우선 화이트 칼라를 구매 했는데 디자인이 아주 맘에 듭니다. 그램이라는 이름 처럼 무척 가볍고 휴개하기가 편합니다.

노트북에 달려 있는 키패드에 한손가락, 두손가락,세손가락 모드가 있어 마우스 없이 웹 브라우징을 쉽게 할 수 있습니다.

가볍워 장시간 작업에도 손이 불편하지 않습니다..

한가지 아쉬운점을 모니터 패널 가장 자리가 약각 디자인적으로 예쁘다는 생각은 들지 않네요.

약 2달정도 사용중인데 있습니다."
LG전자 LG그램 15ZD95P-GX56K,5,G마켓,22.02.19.,LG그램 노트북 잘 받았습니다.,"LG그램 노트북 잘 받았습니다. 주문한지 하루만에 안전배송 왔구요. 지금OS 설치해서 윈도우 업데이트 완료했네요. 제가 17인치 그램 사용중이라 제품 좋은 거 알아요^^ 딸아이 올해 대학 선물로 구매했어요. 가방에 들어가고 무게 부담스럽지않은 그램~~빅스마일데이 할인과 카드할인까지 정말 좋은 가격, 2022년 신제품 다만 기존 모델과 성능차이는 체감하기 어렵네요.. 1135G7과 1155G7 차이는 큰차이 없습니다. 2021년 모델 99만원에 샀어야하는데.. 사려고 뭐뭇거리다 품절되었네요, 15ZD95PN-GX56K와 거의 같으니 참조하세요."
LG전자 LG그램 15ZD95P-GX56K,5,G마켓,22.02.28.,2번째 그램!!!,첫번째 그램을 구입후 ... 덜렁대던 성격으로 분실로 인하여 다시 재구매를 하게되었습니다.(노트가 너무 얇고 가볍게 만들어서.....음)일단 램이 온보더로 나와 업그레이드 안된다는 이야기를 듣고 16기가로그리고 SSD는 너무 좋게 기본 + 1개 추가 장착이 되어서 1TB 추가 장착을 하게 되었습니다. 역시나 엘쥐 그램!!! 가벼움에 성능 뭐하나 흠잡을때가 없는것 같습니다.구입후 한달 정도 사용하고 있는데 정말 좋습니다.PD 충전 및 썬더볼트 통해서 다양한 C타입 USB 활용등!!! 잘쓸게요~
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.03.09.,10년 이상 쓴 노트북이 거의 죽으려고해서 어머니가 선물로 사주셨어요 ㅎㅎ. 엄청 빠르고 가벼워서 적응이 안돼요. 그리고 화질도 좋아요!구성도 알차고 너무 좋았어요. 배터리가 들어,"10년 이상 쓴 노트북이 거의 죽으려고해서 어머니가 선물로 사주셨어요 ㅎㅎ. 엄청 빠르고 가벼워서 적응이 안돼요. 그리고 화질도 좋아요!
구성도 알차고 너무 좋았어요. 배터리가 들어있는 무선마우스랑 마우스패드, 젤리키보드 커버가 들어있어요.
그리고 포장소재들이 대부분 나무라서 친환경적인 느낌도 들어요
안에 달력겸 연필깎이 만드는 카트가 산장 들어있었는데 조금 뻑뻑해서 달력으로서는 실용성이 부족하다는게 한가지 흠입니다 ^^"
LG전자 LG그램 15ZD95P-GX56K,5,G마켓,22.01.11.,드디어 기다리던 그램을 받았어요,"사랑하는 딸의 대학 합격의 기쁜 소식과 함께 축하 선물로 그동안 넘버1으로 점 찍어왔던 LG그램 노트북을 설레이는 마음으로 예약했습니다.그리고 기다리던 노트북을 오늘 안전하게 받아 사랑하는 딸에게 선물했습니다.너무 좋아라하는 딸의 모습을 보며 행복한 마음을 가득안고 이렇게 상품평을 쓰네요.스노우 화이트톤에 세련된 디자인, 최신의 성능, 한 손으로 들기에 충분한 가벼움, 풀스크린, 너무 편한 키보드 등 칭찬할 것이 너무 많네요.사은품인 무소음마우스와 키스킨도 감사합니다.그리고 포터블 모니터, 한컴오피스,인텔S/W도 기대되네요.함께 구매한 OS와 액정보호필름도 잘 받았습니다.고맙습니다! ^^"
LG전자 LG그램 15ZD95P-GX56K,5,11번가,22.03.05.,최고예요,주문하고 하루만에 받았네요 상품도 엄청 꼼꼼하게 이중포장해주시고서비스로 파우치 + 마우스 + 마우스 패드까지 꼼꼼히 챙겨주셨더라구요~! 화면도 이상 없고 완전 하자없는 완벽한 상품!!!! SSD 카드 사양 업뎃한 제품이라 빼먹으셨을까봐 체크했는데 안빼먹고 사양 업글도 꼼꼼히 해주셨어요~!! 제가 원하는 사양 매장에서 구매하려면 220정도 줘야하는데 150주고 사서 너무 좋네욤~ 다음 노트북 바꿀때도 여기서 구매하려구요^^
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.02.28.,"그동안 직장 노트북이 너무 무거워서 들고다니기 힘들어서 무작정 주문했어요.ㅠㅎㅎ 주문해놓고도 너무 충동적이었나 고민했는데, 무를 새도 없이 하루만에 배송이 되었어요ㅋㅋ배송 속도에","그동안 직장 노트북이 너무 무거워서 들고다니기 힘들어서 무작정 주문했어요.ㅠㅎㅎ 주문해놓고도 너무 충동적이었나 고민했는데, 무를 새도 없이 하루만에 배송이 되었어요ㅋㅋ
배송 속도에 엄청 놀랐네요, 직접 가서 사는 것보다 빠른 것 같아요 진심ㅋㅋㅋ
그래서 충동구매였지만 어찌저찌 잘 쓰고 있어요ㅋㅋ 들고다니기에 확실히 가볍고, 윈도우도 인터넷 찾아보고 직접 까는 걸로 했더니 가격도 꽤 저렴하게 산 것 같아 만족스럽습니다.
배터리는 하루종일 가는 수준은 아니고, 그냥 충전기 없이 업무 하는데 별 지장 없이 딱 맞는 정도..?
20시간 넘게 간다고 써있는 걸 본 것 같아서 좀 기분이 찜찜하긴 하지만.. 그간 써온 노트북들에 비하면 넉넉해서 눈감고 써요.
~"
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.03.07.,박스에 공간이 많이 남겨진 채로 와서 배송중에 기사님들이 던져서 파손이 됐으면 어떡하나 싶었지만 일단 괜찮아 보여요! 원하던 제품 조금더 저렴하게 구매해서 너무 만족해요! 지인이,"박스에 공간이 많이 남겨진 채로 와서 배송중에 기사님들이 던져서 파손이 됐으면 어떡하나 싶었지만 일단 괜찮아 보여요! 원하던 제품 조금더 저렴하게 구매해서 너무 만족해요! 지인이 노트북 산다고 하면 여기 추천하려고요. 같이 온 마우스도 무소음이라 정말 좋아요~
포장만 더 신경써주시면 좋을것 같아요! 많이 파세요~"
LG전자 LG그램 15ZD95P-GX56K,4,LG전자인증점 베스트CNF,22.03.04.,역시 그램은 휴대성 강한 노트북이네요갤럭시 북프로랑 둘중에 되게 고민 많이 했었는데 그램선택하기잘한거같습니다 저는이번에 사면 오랫동안 쓸 수 있는 노트북과 휴대성을 고려해서 골라구,"역시 그램은 휴대성 강한 노트북이네요
갤럭시 북프로랑 둘중에 되게 고민 많이 했었는데 그램선택하기잘한거같습니다 저는
이번에 사면 오랫동안 쓸 수 있는 노트북과
휴대성을 고려해서 골라구요 내구성도 경량화 노트북중에서 타 제품에 튼튼하거
같아 오래 쓸 수 있을거 같습니다 디스플레이 화질이 정말 좋네요 글씨도 또렷하게
잘보이고 따로 그래픽카드 없어도 될거같습니다 배송도 2일 안으로 빨리오고 좋았습니다 무엇보다 lg as라 고장나도 신속히
처리할 수 있을거 같습니다 할인 받아
ㅎㅎ"
