제품 이름,평점,판매 회사,날짜,제목,내용
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,11번가,22.02.13.,최고예요,딸아이를 위해서 구매했어요. 개인적으로 아이패드만 쭉 써왔는데 이번에 세팅하면서 갤럭시탭을 오랜만에 써보니까 정말 좋아졌네요. 태블릿 용도로 일반적인 사용측면에서는 오히려 더 괜찮은것도 같아요. 기본 포함된 펜슬도 좋고 삼성 생태계도 편하게 쓸수 있고 ONE UI도 깔끔하구요. 많이 발전했다는 느낌이. 아쉬운점은 이제 패드도 기본충전기는 안주네요. 계속 고민하다가 라방 끝나기전에 구매해서 충전기 확보한건 그나마 다행인듯. 제가 쓴다면 플러스나 울트라로 가겠지만 위로 갈수록 가격이...ㄷㄷ. 결론적으로는 기본모델이 제일 가성비가 좋고 잘 샀다고 위안해봅니다. ㅎ
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,11번가,22.02.13.,최고예요,사전예약으로 18%할인혜택이랑 T멤버십 할인으로 3000원 할인받아 84만원짜리 갤탭s8을 69만원에 겟 했습니당:)그라파이트 색상 128G 사려고 했는데금방 품절되버려서 실버 샀습니다!!예상대로 품질은 만족하고 다만 한가지 불편한건 지문인식이 옆 태두리에 있어 지문인식키를 찾아야한다는게 불편하네요!!그리고 패키지에서 충전기가 빠진다는게 저로써는 이해가 가지 않지만다행히 라이브 방송동안 구매하면 45w충전기를 사은품으로 주신다고 해서 넘 좋았습니다!시중에는 충전기 가격이 3~4만원대더라고요;;결과적으로 가성비 있는 구매가 된것 같아 만족합니다 배송도 빨랐어요!신청하고 거의 2일만에 왔습니다:)
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.12.,구매했는데 해피머니 상품권이 안왔네요.ㅠ카드결제 포인트도 적용이 안된거같구요..펜 색깔은 원래 다른건가요? 핑크 골드 시켰는데검정색 펜이 왔네요....그리고 혜택에 있는것들도 다,"구매했는데 해피머니 상품권이 안왔네요.ㅠ
카드결제 포인트도 적용이 안된거같구요..
펜 색깔은 원래 다른건가요? 핑크 골드 시켰는데
검정색 펜이 왔네요....그리고 혜택에 있는것들도 다 조기품절 된건지 받을수 있는게 없었어요
상품은 만족하는데 혜택들이 좀 차이가 있어서 아쉽습니다."
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,11번가,22.02.14.,최고예요,배송은 우체국택배로 토욜오전에 받았어요 저는 삼성생태계라 신제품 사전뜨는날만 기다리다 구매했어요 울트라랑 고민하다 저는 영상보다는 리딩용으로 주로 쓰는터라 lcd도 나쁘지않다 생각해서 구매했는데 생각보다 화질도 괜찮고 빠릿한게 넘 좋아요 아직 많이사용은 안했지만 간단한 겜도 잘돌아가고 굿락깔아서 꼭 사용하세요 내맘대로 갤탭꾸미기 완전좋아요
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,4,삼성공식파트너 다담INC,22.03.09.,케이스는 색깔도 이쁘고 너무 좋은데 필름과의 조합이 잘 안맞는 것 같아서 그 점은 좀 아쉽습니다.구성상품중에 종이질감 필름 구매했는데 케이스를 끼니까 여유공간없이 너무 딱 들어맞는,"케이스는 색깔도 이쁘고 너무 좋은데 필름과의 조합이 잘 안맞는 것 같아서 그 점은 좀 아쉽습니다.
구성상품중에 종이질감 필름 구매했는데 케이스를 끼니까 여유공간없이 너무 딱 들어맞는 것 같아요ㅠ 그리고 s8필름 구매했는데 쓸데없는 구멍?이 하나 더 있어서.. 크게 거슬리지는 않는데 신경은 쓰이네용"
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.03.03.,탭s7에 이어서 s8도 구매했습니다.안드로이드에서는 제일 나은 퍼포먼스와 디자인을 보여주기에 주저없이 구매했습니다.삼성은 사전예약이 제일 싸다는 말이 있듯이 역시나 이번에도 사전예,"탭s7에 이어서 s8도 구매했습니다.
안드로이드에서는 제일 나은 퍼포먼스와 디자인을 보여주기에 주저없이 구매했습니다.
삼성은 사전예약이 제일 싸다는 말이 있듯이 역시나 이번에도 사전예약 혜택이 제일 좋았네요.
좋은 가격에 잘 구매해서 오래 아껴서 잘 쓰도록 하겠습니다^^"
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.03.08.,삼성갔을때도 그렇고 여기저기 품절상태로 많이 속상했는데 다담아는 제품이 다행히 남아있으서 아무고민도 안하고 구매했습니다 평도 너무좋았구요.근데 배송이 정말....오전6시쯤 주문했는,삼성갔을때도 그렇고 여기저기 품절상태로 많이 속상했는데 다담아는 제품이 다행히 남아있으서 아무고민도 안하고 구매했습니다 평도 너무좋았구요.근데 배송이 정말....오전6시쯤 주문했는데 9시쯤되니발송되었고 심지어 제품도 그 다음날 낮 열두시에 받았습니다 속상했던 맘도 다사라지고 안전하게 배송도 너무 빠르고 너무 기분좋았습니당 앞으로 전자기기 살일 있으면 여기 먼저 찾아보려고요!- 잘쓰고 있습니당 감사합니다 ㅎㅎ
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.20.,고민은 사용 시작만 늦춘다고 했던가요... 깔끔하게 포장 잘되어서 배송왔어요!선주문해서 혜택도 많구 사실 대리점 전화 다 돌렸는데 이 곳만큼 저렴하게 구입할 수 있는 데도 없더라구,"고민은 사용 시작만 늦춘다고 했던가요... 깔끔하게 포장 잘되어서 배송왔어요!
선주문해서 혜택도 많구 사실 대리점 전화 다 돌렸는데 이 곳만큼 저렴하게 구입할 수 있는 데도 없더라구요!
사실 마지막날에 커버 주는지 문의하려고 전화했는데 안받으셔서(ㅜㅜ) 망설이다가 주문했는데 웬걸요...보호필름까지 같이 왔어요! 증말 사랑합니다! 한 달 더 써보고 다시 후기 남길게요!!"
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.13.,1. 가볍고 색이 잘 빠졌다2. 펜이 얇아져서 그립감이 좋다3. 애플펜슬보다 필기감이 좋은 건 뭐지•••4. 그냥 달력 어플에도 필기 가능!!!!!5.,"1. 가볍고 색이 잘 빠졌다
2. 펜이 얇아져서 그립감이 좋다
3. 애플펜슬보다 필기감이 좋은 건 뭐지•••
4. 그냥 달력 어플에도 필기 가능!!!!!
5. 보호 필름 주셨다
6.
7. 진동이 세련되졌당 s20보다 좋음 ㅋㅋ
8. !!"
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,1,삼성공식파트너 다담INC,22.02.12.,제품 자체야 좋은데 다음부터는 여기서 삼성제품 구매하지 않을거임.고객응대가 별로. 전화도 안받고 소통도 안됨 그냥 복사붙여넣기 답변.바로 할인하는데서 사고말지 한달 넘게 기다려서,"제품 자체야 좋은데 다음부터는 여기서 삼성제품 구매하지 않을거임.
고객응대가 별로. 전화도 안받고 소통도 안됨 그냥 복사붙여넣기 답변.
바로 할인하는데서 사고말지 한달 넘게 기다려서 포인트받고 해피머니받고 왜 여기서 샀는지 에휴"
